iter	Passed	Remaining
694	881	386
695	883	385
696	884	384
697	885	383
698	886	381
699	887	380
700	889	379
701	890	377
702	891	376
703	892	375
704	893	373
705	894	372
706	896	371
707	897	370
708	898	368
709	900	367
710	901	366
711	902	365
712	904	363
713	905	362
714	906	361
715	907	360
716	909	358
717	910	357
718	911	356
719	912	354
720	913	353
721	915	352
722	916	351
723	917	349
724	918	348
725	920	347
726	921	345
727	922	344
728	923	343
729	924	342
730	925	340
731	927	339
732	928	338
733	929	336
734	930	335
735	931	334
736	933	332
737	934	331
738	935	330
739	936	329
740	937	327
741	938	326
742	940	325
743	941	323
744	942	322
745	943	321
746	945	320
747	946	318
748	947	317
749	948	316
750	950	315
751	951	313
752	952	312
753	953	311
754	955	310
755	956	308
756	957	307
757	958	306
758	959	304
759	961	303
760	962	302
761	963	300
762	964	299
763	965	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	973	290
770	974	289
771	975	288
772	976	286
773	977	285
774	979	284
775	980	282
776	981	281
777	982	280
778	983	279
779	985	277
780	986	276
781	987	275
782	988	273
783	989	272
784	990	271
785	991	269
786	992	268
787	993	267
788	995	266
789	996	264
790	997	263
791	999	262
792	1000	261
793	1001	259
794	1002	258
795	1003	257
796	1004	255
797	1005	254
798	1007	253
799	1008	252
800	1009	250
801	1010	249
802	1011	248
803	1012	246
804	1013	245
805	1015	244
806	1016	243
807	1017	241
808	1018	240
809	1019	239
810	1020	237
811	1021	236
812	1022	235
813	1023	233
814	1024	232
815	1026	231
816	1027	230
817	1028	228
818	1029	227
819	1030	226
820	1031	224
821	1032	223
822	1034	222
823	1035	221
824	1036	219
825	1037	218
826	1038	217
827	1039	216
828	1041	214
829	1042	213
830	1043	212
831	1044	210
832	1045	209
833	1046	208
834	1047	207
835	1049	205
836	1050	204
837	1051	203
838	1052	201
839	1053	200
840	1054	199
841	1055	198
842	1056	196
843	1057	195
844	1058	194
845	1059	192
846	1061	191
847	1062	190
848	1063	189
849	1064	187
850	1065	186
851	1067	185
852	1068	184
853	1069	182
854	1070	181
855	1071	180
856	1072	178
857	1073	177
858	1074	176
859	1075	175
860	1076	173
861	1078	172
862	1079	171
863	1080	170
864	1081	168
865	1082	167
866	1083	166
867	1084	164
868	1086	163
869	1087	162
870	1088	161
871	1089	159
872	1090	158
873	1091	157
874	1092	156
875	1093	154
876	1094	153
877	1096	152
878	1097	151
879	1098	149
880	1099	148
881	1100	147
882	1101	145
883	1102	144
884	1103	143
885	1104	142
886	1106	140
887	1107	139
888	1108	138
889	1109	137
890	1110	135
891	1111	134
892	1112	133
893	1114	132
894	1115	130
895	1116	129
896	1117	128
897	1118	127
898	1119	125
899	1120	124
900	1121	123
901	1122	121
902	1123	120
903	1124	119
904	1126	118
905	1127	116
906	1128	115
907	1129	114
908	1130	113
909	1132	111
910	1133	110
911	1134	109
912	1135	108
913	1136	106
914	1137	105
915	1138	104
916	1140	103
917	1141	101
918	1143	100
919	1144	99
920	1145	98
921	1146	97
922	1147	95
923	1148	94
924	1150	93
925	1151	91
926	1152	90
927	1153	89
928	1154	88
929	1155	86
930	1156	85
931	1157	84
932	1158	83
933	1159	81
934	1160	80
935	1162	79
936	1163	78
937	1165	77
938	1166	75
939	1167	74
940	1168	73
941	1169	72
942	1170	70
943	1172	69
944	1173	68
945	1174	67
946	1175	65
947	1176	64
948	1177	63
949	1178	62
950	1180	60
951	1181	59
952	1182	58
953	1184	57
954	1185	55
955	1186	54
956	1187	53
957	1188	52
958	1189	50
959	1191	49
960	1192	48
961	1193	47
962	1194	45
963	1195	44
964	1197	43
965	1198	42
966	1199	40
967	1200	39
968	1201	38
969	1203	37
970	1204	35
971	1205	34
972	1206	33
973	1207	32
974	1209	31
975	1210	29
976	1211	28
977	1212	27
978	1214	26
979	1215	24
980	1216	23
981	1217	22
982	1219	21
983	1220	19
984	1221	18
985	1222	17
986	1223	16
987	1224	14
988	1225	13
989	1227	12
990	1228	11
991	1229	9
992	1230	8
993	1232	7
994	1233	6
995	1234	4
996	1235	3
997	1236	2
998	1238	1
999	1239	0
